class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jext.gui.FontSelector;java.util.List;1;0;0;1;0;0
org.jext.gui.FontSelector;java.util.Map;0;0;0;0;0;0
com.microstar.xml.XmlParser;java.util.Set;0;0;0;0;0;0
com.microstar.xml.XmlParser;java.util.List;2;0;0;1;1;0
com.microstar.xml.XmlParser;java.util.Map;29;13;0;16;0;0
org.jext.options.FileFiltersOptions;java.util.Set;0;0;0;0;0;0
org.jext.options.FileFiltersOptions;java.util.List;2;0;0;2;0;0
org.jext.options.FileFiltersOptions;java.util.Map;0;0;0;0;0;0
org.jext.xml.XPropertiesHandler;java.util.Set;0;0;0;0;0;0
org.jext.xml.XPropertiesHandler;java.util.List;0;0;0;0;0;0
org.jext.xml.XPropertiesHandler;java.util.Map;1;1;0;0;0;0
TagsCompletion;java.util.Set;0;0;0;0;0;0
TagsCompletion;java.util.List;16;3;3;10;0;0
TagsCompletion;java.util.Map;0;0;0;0;0;0
org.jext.actions.CompleteWordAll;java.util.Set;6;2;0;3;1;0
org.jext.actions.CompleteWordAll;java.util.List;0;0;0;0;0;0
org.jext.actions.CompleteWordAll;java.util.Map;0;0;0;0;0;0
org.jext.scripting.python.Run;java.util.Set;0;0;0;0;0;0
org.jext.scripting.python.Run;java.util.List;3;2;0;0;1;0
org.jext.scripting.python.Run;java.util.Map;0;0;0;0;0;0
org.jext.actions.CreateTemplate;java.util.Set;1;0;0;0;1;0
org.jext.actions.CreateTemplate;java.util.List;0;0;0;0;0;0
org.jext.actions.CreateTemplate;java.util.Map;4;2;0;2;0;0
org.gjt.sp.jedit.textarea.InputHandler;java.util.Set;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.InputHandler;java.util.List;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.InputHandler;java.util.Map;1;0;0;1;0;0
org.jext.misc.VirtualFolders;java.util.Set;0;0;0;0;0;0
org.jext.misc.VirtualFolders;java.util.List;2;0;0;2;0;0
org.jext.misc.VirtualFolders;java.util.Map;0;0;0;0;0;0
JBrowseLineParser;java.util.Set;0;0;0;0;0;0
JBrowseLineParser;java.util.List;0;0;0;0;0;0
JBrowseLineParser;java.util.Map;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.ASPTokenMarker;java.util.Set;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.ASPTokenMarker;java.util.List;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.ASPTokenMarker;java.util.Map;0;0;0;0;0;0
ToAccents;java.util.Set;0;0;0;0;0;0
ToAccents;java.util.List;0;0;0;0;0;0
ToAccents;java.util.Map;20;19;0;1;0;0
PHPCompleteList;java.util.Set;0;0;0;0;0;0
PHPCompleteList;java.util.List;4;1;0;3;0;0
PHPCompleteList;java.util.Map;0;0;0;0;0;0
HyperTyperAction;java.util.Set;0;0;0;0;0;0
HyperTyperAction;java.util.List;4;1;0;3;0;0
HyperTyperAction;java.util.Map;0;0;0;0;0;0
org.jext.options.FileFiltersOptions.FiltersTableModel;java.util.Set;0;0;0;0;0;0
org.jext.options.FileFiltersOptions.FiltersTableModel;java.util.List;9;1;0;8;0;0
org.jext.options.FileFiltersOptions.FiltersTableModel;java.util.Map;0;0;0;0;0;0
JSFormatter;java.util.Set;0;0;0;0;0;0
JSFormatter;java.util.List;4;0;0;1;3;0
JSFormatter;java.util.Map;36;35;0;1;0;0
org.jext.misc.VirtualFolders.DnDHandler;java.util.Set;0;0;0;0;0;0
org.jext.misc.VirtualFolders.DnDHandler;java.util.List;1;0;0;0;1;0
org.jext.misc.VirtualFolders.DnDHandler;java.util.Map;0;0;0;0;0;0
HyperTyperMapping;java.util.Set;0;0;0;0;0;0
HyperTyperMapping;java.util.List;0;0;0;0;0;0
HyperTyperMapping;java.util.Map;3;1;1;1;0;0
org.jext.gui.SplashScreen;java.util.Set;0;0;0;0;0;0
org.jext.gui.SplashScreen;java.util.List;1;0;0;1;0;0
org.jext.gui.SplashScreen;java.util.Map;0;0;0;0;0;0
org.jext.dawn.DawnParser;java.util.Set;0;0;0;0;0;0
org.jext.dawn.DawnParser;java.util.List;9;0;0;8;1;0
org.jext.dawn.DawnParser;java.util.Map;24;8;4;12;0;0
org.jext.xml.XPopupHandler;java.util.Set;0;0;0;0;0;0
org.jext.xml.XPopupHandler;java.util.List;0;0;0;0;0;0
org.jext.xml.XPopupHandler;java.util.Map;0;0;0;0;0;0
org.jext.gui.OptionGroup;java.util.Set;0;0;0;0;0;0
