class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jgrapht.traverse.TopologicalOrderIterator;java.util.List;0;0;0;0;0;0
org.jgrapht.traverse.TopologicalOrderIterator;java.util.Map;2;1;0;1;0;0
org.jgrapht.alg.BronKerboschCliqueFinder;java.util.Set;3;0;0;3;0;0
org.jgrapht.alg.BronKerboschCliqueFinder;java.util.List;10;5;2;1;2;0
org.jgrapht.alg.BronKerboschCliqueFinder;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.TopoVertexBiMap;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.TopoVertexBiMap;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.TopoVertexBiMap;java.util.Map;8;2;4;2;0;0
org.jgrapht.alg.KShortestPaths;java.util.Set;2;0;0;2;0;0
org.jgrapht.alg.KShortestPaths;java.util.List;1;1;0;0;0;0
org.jgrapht.alg.KShortestPaths;java.util.Map;0;0;0;0;0;0
org.jgrapht.ext.JGraphModelAdapter.JGraphTListener;java.util.Set;4;0;4;0;0;0
org.jgrapht.ext.JGraphModelAdapter.JGraphTListener;java.util.List;0;0;0;0;0;0
org.jgrapht.ext.JGraphModelAdapter.JGraphTListener;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.equivalence.EquivalenceSetCreator;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.equivalence.EquivalenceSetCreator;java.util.List;5;3;0;1;1;0
org.jgrapht.experimental.equivalence.EquivalenceSetCreator;java.util.Map;2;1;0;1;0;0
org.jgrapht.alg.BellmanFordShortestPath;java.util.Set;1;0;0;1;0;0
org.jgrapht.alg.BellmanFordShortestPath;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.BellmanFordShortestPath;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.TransitiveClosure;java.util.Set;3;1;1;1;0;0
org.jgrapht.alg.TransitiveClosure;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.TransitiveClosure;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.DirectedGraphUnion;java.util.Set;6;4;0;2;0;0
org.jgrapht.graph.DirectedGraphUnion;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.DirectedGraphUnion;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.LinearGraphGenerator;java.util.Set;0;0;0;0;0;0
org.jgrapht.generate.LinearGraphGenerator;java.util.List;0;0;0;0;0;0
org.jgrapht.generate.LinearGraphGenerator;java.util.Map;2;2;0;0;0;0
org.jgrapht.traverse.AbstractGraphIterator;java.util.Set;0;0;0;0;0;0
org.jgrapht.traverse.AbstractGraphIterator;java.util.List;10;1;1;8;0;0
org.jgrapht.traverse.AbstractGraphIterator;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.permutation.CollectionPermutationIter;java.util.Set;1;0;0;1;0;0
org.jgrapht.experimental.permutation.CollectionPermutationIter;java.util.List;4;1;0;3;0;0
org.jgrapht.experimental.permutation.CollectionPermutationIter;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.BlockCutpointGraph.VertexComponentForbiddenFunction;java.util.Set;1;0;0;1;0;0
org.jgrapht.alg.BlockCutpointGraph.VertexComponentForbiddenFunction;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.BlockCutpointGraph.VertexComponentForbiddenFunction;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.ChromaticNumber;java.util.Set;3;1;0;1;1;0
org.jgrapht.alg.ChromaticNumber;java.util.List;1;0;0;0;1;0
org.jgrapht.alg.ChromaticNumber;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.GraphUnion;java.util.Set;8;8;0;0;0;0
org.jgrapht.graph.GraphUnion;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.GraphUnion;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.equivalence.EquivalenceComparatorChainBase;java.util.Set;0;0;0;0;0;0
